user_id,breed_id,name,gender,birthdate,color,description,image,type,price,status,is_neutered,is_vaccinated,views,province
5,3,Cat 1,male,2023-01-01,white,A very lovely cat looking for a new home.,,adoption,,reserved,true,true,109,Bangkok
10,5,Cat 2,unknown,2023-01-01,white,A very lovely cat looking for a new home.,,adoption,,closed,false,false,149,Bangkok
7,3,Cat 3,male,2023-01-01,orange,A very lovely cat looking for a new home.,,adoption,,active,false,true,133,Bangkok
7,4,Cat 4,unknown,2023-01-01,orange,A very lovely cat looking for a new home.,,sale,9758.08,reserved,false,true,80,Chiang Mai
8,3,Cat 5,unknown,2023-01-01,cream,A very lovely cat looking for a new home.,,sale,46828.69,reserved,true,false,191,Chiang Mai
10,2,Cat 6,female,2023-01-01,cream,A very lovely cat looking for a new home.,,sale,30261.18,sold,true,true,19,Bangkok
4,5,Cat 7,male,2023-01-01,tabby,A very lovely cat looking for a new home.,,sale,42316.73,active,false,true,38,Bangkok
3,3,Cat 8,male,2023-01-01,grey,A very lovely cat looking for a new home.,,adoption,,active,false,true,0,Bangkok
9,4,Cat 9,unknown,2023-01-01,calico,A very lovely cat looking for a new home.,,adoption,,reserved,false,false,5,Bangkok
9,5,Cat 10,female,2023-01-01,white,A very lovely cat looking for a new home.,,sale,18626.34,closed,true,true,168,Chiang Mai
7,5,Cat 11,female,2023-01-01,white,A very lovely cat looking for a new home.,,sale,16497.82,closed,false,true,191,Bangkok
2,1,Cat 12,unknown,2023-01-01,black,A very lovely cat looking for a new home.,,sale,33259.3,closed,false,false,63,Bangkok
7,5,Cat 13,male,2023-01-01,tabby,A very lovely cat looking for a new home.,,adoption,,closed,false,false,45,Bangkok
6,5,Cat 14,male,2023-01-01,cream,A very lovely cat looking for a new home.,,adoption,,active,false,true,61,Phuket
6,2,Cat 15,unknown,2023-01-01,cream,A very lovely cat looking for a new home.,,sale,4159.14,sold,false,true,94,Bangkok
2,1,Cat 16,male,2023-01-01,white,A very lovely cat looking for a new home.,,adoption,,closed,false,true,198,Phuket
10,1,Cat 17,male,2023-01-01,cream,A very lovely cat looking for a new home.,,adoption,,active,true,false,119,Phuket
9,1,Cat 18,male,2023-01-01,black,A very lovely cat looking for a new home.,,sale,35699.29,reserved,false,true,47,Chiang Mai
